County,Cases,Deaths,Detroit
alcona,13636.363636363636,540.4362092260181,No
alger,12047.927888314829,120.91898428053204,No
allegan,17297.808688537163,237.7969265386484,No
alpena,16026.093088857546,401.97461212976026,No
antrim,13494.543120051358,218.27519794564517,No
arenac,15677.149125723025,339.0731999202181,No
baraga,17956.73076923077,576.9230769230769,No
barry,17571.16928560917,214.20278954167142,No
bay,18445.387450323797,451.295670833213,No
benzie,13558.27184137892,304.173942432265,No
berrien,16534.86093901039,256.9076365146197,No
branch,19607.07899683646,327.8162395121728,No
calhoun,18458.28964881364,342.7840609129507,No
cass,17513.01957291929,214.8955530172497,No
charlevoix,13001.06691053193,198.14052735863436,No
cheboygan,14465.037579191752,314.79951206075634,No
chippewa,13679.132126769196,170.5893328357811,No
clare,16669.376076990604,425.91930292291187,No
clinton,17951.142036000605,205.46563807795087,No
crawford,13898.28069923027,151.06826846989424,No
delta,19951.473910254623,376.49552388654934,No
dickinson,20167.04093290785,366.3869518969389,No
eaton,16721.905559703533,296.83317247282065,No
emmet,13657.379608502462,180.13690404707577,No
genesee,17727.308474976162,330.0630142642274,No
gladwin,16371.31467813869,374.94573153885625,No
gogebic,15434.552199258082,410.7048224695283,No
grand traverse,13240.361660527367,194.44114374601668,No
gratiot,19599.004901598564,394.09837680731056,No
hillsdale,17987.278410457056,378.15034208398,No
houghton,15649.244871476298,201.551671774483,No
huron,20284.925880767503,391.4522235769749,No
ingham,14417.134951406562,198.13141578560817,No
ionia,18959.663603800032,222.70674349789752,No
iosco,15154.898130058611,446.5531677365337,No
iron,16848.07052262301,638.661509400018,No
isabella,16170.176582296419,228.1681358238145,No
jackson,18174.319840325392,274.5194335832971,No
kalamazoo,15181.032204477668,206.89394797447804,No
kalkaska,14177.513464991023,269.29982046678634,No
kent,18811.81303974083,190.58223944838218,No
keweenaw,18504.495977283485,520.5868433506862,No
lake,11808.770305529837,260.9207979126336,No
lapeer,17686.41795792248,373.74471758985777,No
leelanau,11528.211725785703,188.38448814556148,No
lenawee,18034.722080882504,258.482079254269,No
livingston,17309.019788311092,186.16910011295653,No
luce,16568.51822377845,79.57981855801368,No
mackinac,15778.251599147123,176.13794382126633,No
macomb,18927.613205465736,367.3011652352248,Yes
manistee,10326.973255055447,252.7723418134377,No
marquette,13900.414937759337,145.82957483913646,No
mason,16381.443298969072,226.8041237113402,No
mecosta,14674.474681364105,195.20036743598575,No
menominee,18343.993386416045,261.0625244746117,No
midland,16261.46210145537,217.52454662356237,No
missaukee,14828.293522133263,304.37371799113345,No
monroe,18101.689056694075,247.27630468163176,No
montcalm,18163.769384692347,257.94147073536766,No
montmorency,14484.61953588775,442.5256341068538,No
muskegon,16986.197202571606,297.2555706615665,No
newaygo,18078.62226949194,263.846846109793,No
oakland,15827.668360864041,247.45870393900893,Yes
oceana,18497.652582159622,315.49295774647885,No
ogemaw,15879.152348224512,386.59793814432993,No
ontonagon,12976.704055220018,465.9188955996549,No
osceola,16648.815389229254,265.62700826871173,No
oscoda,14161.43064282262,616.2397293378444,No
otsego,17429.55605108453,320.2919116156497,No
ottawa,19110.893856671737,222.3798081888094,No
presque isle,13644.214162348877,400.37682524729155,No
roscommon,15265.449673421539,422.877239993301,No
saginaw,18879.454926624738,410.377358490566,No
sanilac,16558.205041037345,405.51697343499586,No
schoolcraft,14910.758552305404,99.15716410510659,No
shiawassee,18659.080244016892,268.3599249178789,No
st. clair,19244.1178131884,416.09921110602056,No
st. joseph,17839.883360909524,262.11031567911147,No
tuscola,18999.92383273669,453.1952166958641,No
van buren,16873.87339624642,279.66281412363486,No
washtenaw,12426.845804028973,107.28832794645287,No
wayne,15831.380531276192,369.40743148087967,Yes
wexford,15107.870674714635,253.98912328930854,No
