County,Cancer,Heart,Accidents,Diabetes,Pneumonia/Flu,COVID-19
alcona,191.7,233.3,71.6,60.1,7.7,540.4362092260181
alger,109.8,183.3,4.7,33.2,6.5,120.91898428053204
allegan,161.2,169.9,54.6,79.7,15.6,237.7969265386484
alpena,185.1,208.5,34.8,126.5,11.8,401.97461212976026
antrim,153.7,155,35.2,55.7,2.3,218.27519794564517
arenac,174.1,225.2,25.7,49.1,26.2,339.0731999202181
baraga,155,183.6,77.8,101.8,21.5,576.9230769230769
barry,144.2,158.1,60.8,61.8,14.1,214.20278954167142
bay,169.6,233.9,46.8,69.5,17.6,451.295670833213
benzie,162.6,164.7,33.3,57.6,2.5,304.173942432265
berrien,159.8,200.5,39.3,54,7.9,256.9076365146197
branch,154.9,202.2,46.7,87.8,21,327.8162395121728
calhoun,173.7,187.1,61.4,74.7,14.8,342.7840609129507
cass,174,184.9,52.8,64.3,8.5,214.8955530172497
charlevoix,137.6,139.8,30.6,31,9.1,198.14052735863436
cheboygan,166.2,196.6,52.3,63.3,10.8,314.79951206075634
chippewa,164.6,156.7,53.4,69.8,8.1,170.5893328357811
clare,232.3,283.3,54.5,108.9,8.9,425.91930292291187
clinton,129,165.5,37.4,67.9,11.1,205.46563807795087
crawford,190.3,147.2,66.5,70.9,11.4,151.06826846989424
delta,172.6,206.2,21.2,60.5,14.7,376.49552388654934
dickinson,147.2,152.5,40.7,70.6,15.4,366.3869518969389
eaton,150.8,160.2,49.8,67.1,17.3,296.83317247282065
emmet,163.4,185.3,46.2,47.6,1.7,180.13690404707577
genesee,166.8,226.5,60.3,87.8,14,330.0630142642274
gladwin,184.4,232.6,56.5,49.9,16.4,374.94573153885625
gogebic,179.7,141.9,51.1,45.4,17.9,410.7048224695283
grand traverse,140.1,159.7,32.1,51.3,8.6,194.44114374601668
gratiot,166,248.7,40.6,67.9,8.7,394.09837680731056
hillsdale,209,235.2,47.9,118.3,16,378.15034208398
houghton,163.9,154,38.7,87.2,14.5,201.551671774483
huron,150.6,225.1,37.9,78,10,391.4522235769749
ingham,156.8,146.2,61.7,67.8,23.7,198.13141578560817
ionia,155.9,187.3,42,102.2,27.8,222.70674349789752
iosco,164.2,221.4,88.3,48.9,7.3,446.5531677365337
iron,225.9,179.4,81.3,58.2,15.7,638.661509400018
isabella,165.5,180.2,42.2,68.7,6.7,228.1681358238145
jackson,167.8,200.2,27.2,65.8,9.7,274.5194335832971
kalamazoo,156.7,160.4,44.7,66.3,14.6,206.89394797447804
kalkaska,208.6,230.8,74.6,81.2,14,269.29982046678634
kent,158.1,170,46.3,77.1,10,190.58223944838218
keweenaw,50.4,42.3,0,105,0,520.5868433506862
lake,182,165.3,33.5,73.4,8.6,260.9207979126336
lapeer,198.3,212.7,34.3,48.8,22.5,373.74471758985777
leelanau,106.3,118.1,25.5,21.8,5.4,188.38448814556148
lenawee,169.4,221.6,42.9,101.4,7.4,258.482079254269
livingston,145.3,199.2,43.5,50,9.1,186.16910011295653
luce,194.4,159.8,45.6,88.4,9.9,79.57981855801368
mackinac,161.2,135.2,43,42.3,14.5,176.13794382126633
macomb,168.9,190.6,42.6,62,15.3,367.3011652352248
manistee,203.5,166.3,51.1,61.6,10.5,252.7723418134377
marquette,140.7,165.3,40.9,67.1,13.6,145.82957483913646
mason,161.2,176,61.2,56.9,13.9,226.8041237113402
mecosta,199.8,202.3,27.2,94.8,16.2,195.20036743598575
menominee,186.5,220,46.7,34.6,4.1,261.0625244746117
midland,151.4,139.4,31,42.7,5.1,217.52454662356237
missaukee,185,193,17.7,73.7,25.2,304.37371799113345
monroe,140.8,184.7,39.4,59.4,11,247.27630468163176
montcalm,212.4,182.5,45.8,76.3,12.7,257.94147073536766
montmorency,202.9,232.7,53.8,106.2,10.1,442.5256341068538
muskegon,181.9,165.2,63.1,92.7,10.4,297.2555706615665
newaygo,149.6,193,71.9,90.5,15.2,263.846846109793
oakland,139.5,190,24.5,56.7,12.4,247.45870393900893
oceana,143.2,165.6,87.9,87.5,13.6,315.49295774647885
ogemaw,162.4,260.5,78.7,42.1,19.2,386.59793814432993
ontonagon,171.9,152,31.3,77.4,0,465.9188955996549
osceola,192.2,185.5,62.1,82.5,3.2,265.62700826871173
oscoda,167.1,199.2,64.9,41.9,13.5,616.2397293378444
otsego,174,199.8,4.5,96.2,14.4,320.2919116156497
ottawa,142.3,140.3,35,66.1,9,222.3798081888094
presque isle,190.7,225.3,21.2,82,3,400.37682524729155
roscommon,191.3,215,50.1,60.4,7.4,422.877239993301
saginaw,153.6,179.7,25.1,79,15.7,410.377358490566
sanilac,158.7,213.7,54,104.8,14.2,405.51697343499586
schoolcraft,136.7,150.5,48.1,62.1,11.3,99.15716410510659
shiawassee,159.6,213.8,40.6,58.2,20.4,268.3599249178789
st. clair,174.9,226.7,53,82,13,416.09921110602056
st. joseph,178.8,181.7,58.7,90.9,15.3,262.11031567911147
tuscola,167.4,219.9,49.5,91.4,17.9,453.1952166958641
van buren,182.5,212.5,67.6,67.8,13.9,279.66281412363486
washtenaw,141,162.2,39.3,51.4,8.3,107.28832794645287
wayne,163.4,229.3,55.2,63.7,20.4,369.40743148087967
wexford,167.2,162.1,46.4,87.7,13.5,253.98912328930854
